fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230120 143712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	759	TRUE	102191	0.177166289889312	0.247437886102125	4416	517	11841	654480000	1
20230120 143813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	274	TRUE	102191	0.231713075578446	0.744109460646287	5545	662	11354	634500000	2
20230120 144001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	395	TRUE	102191	0.200223398589354	0.678483336633071	2117	445	9306	590910000	3
20230120 144851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1847	TRUE	102191	0.0371885019583278	0.830891618970782	2982	555	13459	700610000	4
20230120 145326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1207	TRUE	102191	0.0845965149718104	0.236946371002123	4310	699	10960	637600000	5
20230120 145516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	102191	0.155120239980519	0.712103395517915	3526	353	12766	678790000	6
20230120 145621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	102191	0.251611726889969	0.342679671505466	5808	146	5444	404480000	7
20230120 150023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1357	TRUE	102191	0.0727337429061299	0.96475863583386	7263	414	8545	545950000	8
20230120 150259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	102191	0.107184547616227	0.504834593432024	645	249	14230	717780000	9
20230120 151821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3807	TRUE	102191	0.0164063414479024	0.42236672591418	6575	69	8088	528710000	10
20230120 151936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	269	TRUE	102191	0.28029239565297	0.601877612890676	2703	758	7584	519720000	11
20230120 152419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1220	TRUE	102191	0.0568766090539866	0.587685348195955	3824	825	13892	703580000	12
20230120 152658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	102191	0.141289614821027	0.305816061953083	1427	988	6995	496250000	13
20230120 152808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	225	TRUE	102191	0.137355336197012	0.785328150046989	1924	184	5978	440530000	14
20230120 152856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	102191	0.295472331847704	0.45777814231813	1045	874	14782	715640000	15
20230120 153036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	539	TRUE	102191	0.212323697490036	0.953581059304997	6857	614	12045	653830000	16
20230120 154246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2728	TRUE	102191	0.0297997171077877	0.55058461651206	6257	953	7083	490880000	17
20230120 154441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	582	TRUE	102191	0.257360511137696	0.914502804735676	7941	23	6338	445650000	18
20230120 154657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	102191	0.12295641574997	0.877649749387056	237	809	9965	614550000	19
20230120 154918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	587	TRUE	102191	0.191524491427001	0.399634753968567	5076	316	10185	612990000	20
