Feature	Gain	Cover	Frequency
cliente_antiguedad	0.208615191413635	0.0290114270304761	0.0318547186662697
ctrx_quarter	0.131720351817159	0.0299329292469734	0.0323757070556713
mrentabilidad_annual	0.0539357168175877	0.0351415815054839	0.0395206906817505
mtarjeta_master_consumo	0.0426773007097386	0.00883151575385067	0.00736826436439417
Master_mpagospesos	0.0425720817111793	0.0135843747317937	0.0110151830902054
Visa_mpagospesos	0.0369057744551811	0.0219563511474666	0.0241143197380173
numero_de_cliente	0.0246312518425642	0.0253690289844283	0.0264959809467103
Master_delinquency	0.0197368529596679	0.00467517021600859	0.00275379577255135
mtarjeta_visa_consumo	0.0172681846906851	0.0143244963655102	0.0141411134266151
mpasivos_margen	0.0168674456117458	0.0179498479140393	0.0220303661804108
mcaja_ahorro_adicional	0.0161491037295154	0.022484143139201	0.026793688597797
Visa_delinquency	0.0159531390319998	0.00974153679837225	0.00431676094075618
cliente_edad	0.015640725045636	0.0218598138235603	0.0313337302768681
Visa_msaldototal	0.0154563056316252	0.0172331466669099	0.0201696933611194
mactivos_margen	0.0143284652940506	0.0274917662911729	0.0299196189342066
Visa_mpagominimo	0.0133318765111624	0.0237217528359231	0.0231467698719857
mcuentas_saldo	0.013187569238082	0.0251186581489173	0.0268681155105686
mcomisiones_mantenimiento	0.0122154882314831	0.0268425994523406	0.026570407859482
cproductos	0.0119372795017565	0.0166044928266685	0.0155552247692766
tcallcenter	0.0115058057132165	0.00359699591382745	0.00282822268532301
Master_mconsumosdolares	0.0114624073236071	0.00219937450600881	0.00223280738314975
Master_mfinanciacion_limite	0.0113704631425723	0.0227662672965689	0.023965465912474
mcuenta_corriente	0.0112684811908313	0.0240633236158979	0.0203929740994344
Master_mpagominimo	0.00985638996675433	0.0143247759220483	0.0099732063114022
ccomisiones_otras	0.00903822522094414	0.0177358086763051	0.0175647514141113
Visa_cconsumos	0.00900499085510237	0.0124224926003696	0.0165227746353081
Master_mlimitecompra	0.00862387391742442	0.0206910459995596	0.0234444775230723
ctarjeta_visa_transacciones	0.008412009254541	0.0116780227872684	0.0129502828222685
chomebanking_transacciones	0.00786430032605001	0.0207160017966712	0.0238166120869306
Visa_msaldopesos	0.00748670056569541	0.016388395622727	0.0214349508782376
Visa_mlimitecompra	0.00734232912466393	0.0183090952689608	0.020690681750521
mrentabilidad	0.00707803156506288	0.0203100986059778	0.0257517118189938
ccallcenter_transacciones	0.00693595681296463	0.010618277712252	0.00573087228341768
Visa_mfinanciacion_limite	0.00654519752908012	0.0175884006642066	0.0191277165823162
Visa_mconsumospesos	0.00625192016718046	0.0136370904931374	0.0201696933611194
