fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221010 145515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	113111	0.0500866246767691	0.688884090567008	2781	309	10275	44410000	1
20221010 145719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	113111	0.0395876666115946	0.30269993878901	6182	928	8560	41520000	2
20221010 145813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	113111	0.082341869602853	0.756205424722284	7034	566	8007	40790000	3
20221010 150314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	521	TRUE	113111	0.0261371641097358	0.561493847249076	5434	812	11772	46540000	4
20221010 150422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	113111	0.0797013236848288	0.48568426579237	3599	351	13677	47130000	5
20221010 150528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	113111	0.0692321828530403	0.786886147288606	1077	583	10982	45560000	6
20221010 151529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1394	TRUE	113111	0.0132935849711066	0.432325522294268	4515	410	9513	43940000	7
20221010 151836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	351	TRUE	113111	0.0312422602621373	0.446829853029922	6613	748	6650	38700000	8
20221010 152052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	113111	0.034702236536541	0.619555816007778	3720	221	12231	46340000	9
20221010 152209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	113111	0.0758396910385345	0.874027084996924	5018	494	11205	45110000	10
20221010 152433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	113111	0.0659248544122674	0.551766380313784	2351	134	7803	41600000	11
20221010 152815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	360	TRUE	113111	0.0158075265449588	0.9509843031317	4203	866	9295	42770000	12
20221010 153021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	113111	0.0913036879214342	0.397182178441435	135	652	14725	47830000	13
20221010 153131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	113111	0.0960392436520197	0.999764182846993	1664	894	5423	36440000	14
20221010 153802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1385	TRUE	113111	0.0219561600101297	0.216925335666165	5705	19	13428	46990000	15
20221010 153937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	255	TRUE	113111	0.0879885635520914	0.347077852739021	7322	467	12677	45130000	16
20221010 154902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	616	TRUE	113111	0.00831810700608185	0.800774091621861	785	200	6012	38700000	17
20221010 155209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	113111	0.043880066678219	0.25151907841675	1235	716	5626	37710000	18
20221010 155327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	213	TRUE	113111	0.0533604729272192	0.906956154182553	7946	101	7266	39390000	19
20221010 155433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	113111	0.0592799147053156	0.650833667917177	2941	979	14059	47730000	20
20221010 160649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	766	TRUE	113111	0.00938351103434725	0.410985905527923	1259	668	14706	48910000	21
20221010 162452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1835	TRUE	113111	0.00505177712011946	0.482967718487256	4263	666	14998	48330000	22
20221010 164256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	957	TRUE	113111	0.00603703993411512	0.2005797090449	19	738	14155	46330000	23
