fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221012 150020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	113111	0.0500866246767691	0.688884090567008	2781	309	10275	51610000	1
20221012 150537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1042	TRUE	113111	0.0395876666115946	0.30269993878901	6182	928	8560	47440000	2
20221012 150713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	341	TRUE	113111	0.082341869602853	0.756205424722284	7034	566	8007	46550000	3
20221012 151117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373	TRUE	113111	0.0261371641097358	0.561493847249076	5434	812	11772	52140000	4
20221012 151226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	113111	0.0797013236848288	0.48568426579237	3599	351	13677	53610000	5
20221012 151345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	113111	0.0692321828530403	0.786886147288606	1077	583	10982	51640000	6
20221012 152752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2159	TRUE	113111	0.0132935849711066	0.432325522294268	4515	410	9513	51220000	7
20221012 153118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	441	TRUE	113111	0.0312422602621373	0.446829853029922	6613	748	6650	43340000	8
20221012 153332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	256	TRUE	113111	0.034702236536541	0.619555816007778	3720	221	12231	52740000	9
20221012 153459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	269	TRUE	113111	0.0758396910385345	0.874027084996924	5018	494	11205	51510000	10
20221012 153705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	237	TRUE	113111	0.0659248544122674	0.551766380313784	2351	134	7803	48400000	11
20221012 154242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	836	TRUE	113111	0.0158075265449588	0.9509843031317	4203	866	9295	49890000	12
20221012 154423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	113111	0.0913036879214342	0.397182178441435	135	652	14725	53430000	13
20221012 154520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	113111	0.0960392436520197	0.999764182846993	1664	894	5423	40840000	14
20221012 155229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1377	TRUE	113111	0.0219561600101297	0.216925335666165	5705	19	13428	52270000	15
20221012 155329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	120	TRUE	113111	0.0879885635520914	0.347077852739021	7322	467	12677	51290000	16
20221012 160332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	703	TRUE	113111	0.00831810700608185	0.800774091621861	785	200	6012	42940000	17
20221012 160532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	113111	0.043880066678219	0.25151907841675	1235	716	5626	42030000	18
20221012 160708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	113111	0.0533604729272192	0.906956154182553	7946	101	7266	45150000	19
20221012 160904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	211	TRUE	113111	0.0592799147053156	0.650833667917177	2941	979	14059	55170000	20
20221012 161323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	556	TRUE	113111	0.0207729732454854	0.92802668431832	2868	940	14540	53880000	21
20221012 161624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	113111	0.0511212344734441	0.61116463680187	314	1024	13879	54490000	22
20221012 161714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	113111	0.0858014478721028	0.797014913891633	3130	1024	14214	53340000	23
