fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221010 204146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	113111	0.0500866246767691	0.688884090567008	2781	309	10275	48970000	1
20221010 204441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	394	TRUE	113111	0.0395876666115946	0.30269993878901	6182	928	8560	4.6e+07	2
20221010 204540	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	113111	0.082341869602853	0.756205424722284	7034	566	8007	44470000	3
20221010 205153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	578	TRUE	113111	0.0261371641097358	0.561493847249076	5434	812	11772	50780000	4
20221010 205307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	113111	0.0797013236848288	0.48568426579237	3599	351	13677	51770000	5
20221010 205421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	113111	0.0692321828530403	0.786886147288606	1077	583	10982	49240000	6
20221010 210515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1355	TRUE	113111	0.0132935849711066	0.432325522294268	4515	410	9513	49220000	7
20221010 210924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	509	TRUE	113111	0.0312422602621373	0.446829853029922	6613	748	6650	41900000	8
20221010 211223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	113111	0.034702236536541	0.619555816007778	3720	221	12231	51940000	9
20221010 211354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	113111	0.0758396910385345	0.874027084996924	5018	494	11205	50150000	10
20221010 211511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	113111	0.0659248544122674	0.551766380313784	2351	134	7803	44320000	11
20221010 212236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	853	TRUE	113111	0.0158075265449588	0.9509843031317	4203	866	9295	47810000	12
20221010 212449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	113111	0.0913036879214342	0.397182178441435	135	652	14725	50710000	13
20221010 212553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	113111	0.0960392436520197	0.999764182846993	1664	894	5423	3.7e+07	14
20221010 213050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	655	TRUE	113111	0.0219561600101297	0.216925335666165	5705	19	13428	52110000	15
20221010 213156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	113111	0.0879885635520914	0.347077852739021	7322	467	12677	50650000	16
