fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 173309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	113111	0.0662565067429096	0.748570771953091	3561	380	7191	24740000	1
20220928 173349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	113111	0.0797260805846891	0.563046936141327	1694	594	12521	25360000	2
20220928 173441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	113111	0.0493052828044747	0.716753646237776	2857	475	10151	26500000	3
20220928 173521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	113111	0.07450923401193	0.4669508731924	4354	868	9569	25990000	4
20220928 173637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	113111	0.0431875022254535	0.552500986317173	556	91	9409	27030000	5
20220928 173723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	294	TRUE	113111	0.0926369228311232	0.279239330431446	4483	345	11565	25430000	6
20220928 173830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	312	TRUE	113111	0.058632468387601	0.328263769811019	6057	720	14558	23450000	7
20220928 173904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	113111	0.0670828380027087	0.915664927689359	5632	449	10722	26160000	8
20220928 173936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	113111	0.0406157565700705	0.923076413860545	3698	970	7685	25270000	9
20220928 174307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1256	TRUE	113111	0.0185845043234294	0.217678485838696	5316	816	8464	26200000	10
20220928 174357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	113111	0.0373490355857648	0.864378021601587	2595	247	13377	24850000	11
20220928 174415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	113111	0.0831792904452886	0.659926662007347	7696	878	6723	25440000	12
20220928 174527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	227	TRUE	113111	0.0231656460087397	0.364091187957674	6737	50	5355	24090000	13
20220928 174839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	331	TRUE	113111	0.0106687197298161	0.425025408994406	944	120	11366	26230000	14
20220928 174904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	113111	0.0965336022982374	0.78717457649298	1226	651	8635	25850000	15
20220928 175042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	754	TRUE	113111	0.0330872684017522	0.614378712987527	7334	277	12381	25720000	16
20220928 175208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	569	TRUE	113111	0.0285096378934104	0.99770054304041	4888	1017	14278	24170000	17
20220928 175437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	319	TRUE	113111	0.00969509577075951	0.800091585712507	2133	570	6472	25380000	18
20220928 175503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	113111	0.087736180940934	0.494952005958185	6897	204	5826	24110000	19
20220928 175623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	113111	0.0526685477552237	0.314664870295674	127	771	13515	23610000	20
20220928 180112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	397	TRUE	113111	0.00500705174505489	0.585338106795883	43	46	9622	27080000	21
20220928 181106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1968	TRUE	113111	0.00500175802591308	0.282207044118746	225	159	9371	26620000	22
20220928 181142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	113111	0.033655553680785	0.780473391958236	263	16	9692	25980000	23
