cp	min_split	minbucket	max_depth	ganancia_promedio
0.1	200	66.66667	6	0
0.1	100	33.33333	6	0
0.1	50	16.66667	6	0
0.1	25	8.333333	6	0
0.1	23	7.666667	6	0
0.1	21	7	6	0
0.1	20	6.666667	6	0
0.1	19	6.333333	6	0
0.1	18	6	6	0
0.1	15	5	6	0
0.1	13	4.333333	6	0
0.1	11	3.666667	6	0
0.1	10	3.333333	6	0
0.1	200	66.66667	8	0
0.1	100	33.33333	8	0
0.1	50	16.66667	8	0
0.1	25	8.333333	8	0
0.1	23	7.666667	8	0
0.1	21	7	8	0
0.1	20	6.666667	8	0
0.1	19	6.333333	8	0
0.1	18	6	8	0
0.1	15	5	8	0
0.1	13	4.333333	8	0
0.1	11	3.666667	8	0
0.1	10	3.333333	8	0
0.1	200	66.66667	12	0
0.1	100	33.33333	12	0
0.1	50	16.66667	12	0
0.1	25	8.333333	12	0
0.1	23	7.666667	12	0
0.1	21	7	12	0
0.1	20	6.666667	12	0
0.1	19	6.333333	12	0
0.1	18	6	12	0
0.1	15	5	12	0
0.1	13	4.333333	12	0
0.1	11	3.666667	12	0
0.1	10	3.333333	12	0
0.1	200	66.66667	16	0
0.1	100	33.33333	16	0
0.1	50	16.66667	16	0
0.1	25	8.333333	16	0
0.1	23	7.666667	16	0
0.1	21	7	16	0
0.1	20	6.666667	16	0
0.1	19	6.333333	16	0
0.1	18	6	16	0
0.1	15	5	16	0
0.1	13	4.333333	16	0
0.1	11	3.666667	16	0
0.1	10	3.333333	16	0
0.1	200	66.66667	20	0
0.1	100	33.33333	20	0
0.1	50	16.66667	20	0
0.1	25	8.333333	20	0
0.1	23	7.666667	20	0
0.1	21	7	20	0
0.1	20	6.666667	20	0
0.1	19	6.333333	20	0
0.1	18	6	20	0
0.1	15	5	20	0
0.1	13	4.333333	20	0
0.1	11	3.666667	20	0
0.1	10	3.333333	20	0
0.1	200	66.66667	24	0
0.1	100	33.33333	24	0
0.1	50	16.66667	24	0
0.1	25	8.333333	24	0
0.1	23	7.666667	24	0
0.1	21	7	24	0
0.1	20	6.666667	24	0
0.1	19	6.333333	24	0
0.1	18	6	24	0
0.1	15	5	24	0
0.1	13	4.333333	24	0
0.1	11	3.666667	24	0
0.1	10	3.333333	24	0
0.1	200	66.66667	28	0
0.1	100	33.33333	28	0
0.1	50	16.66667	28	0
0.1	25	8.333333	28	0
0.1	23	7.666667	28	0
0.1	21	7	28	0
0.1	20	6.666667	28	0
0.1	19	6.333333	28	0
0.1	18	6	28	0
